"구분(1)",구분(2),구분(3),구분(4),2020,2021
"인천",재활용 가능자원 분리배출,금속캔,소계,3879.0,7396.4
"인천",재활용 가능자원 분리배출,폐합성수지류,비닐류,31589.5,43226.2
"인천",재활용 가능자원 분리배출,폐합성수지류,발포수지류,1810.2,3625.6
"인천",재활용 가능자원 분리배출,폐합성수지류,PET병,3558.0,7305.6
"인천",재활용 가능자원 분리배출,폐합성수지류,기타,11412.8,24803.9
"인천",재활용 가능자원 분리배출,폐고무류,소계,0.0,0.0
"인천",재활용 가능자원 분리배출,폐유리병류,소계,10169.9,16233.3
"인천",재활용 가능자원 분리배출,폐의류,소계,3015.8,7541.1
"인천",재활용 가능자원 분리배출,폐섬유류,소계,0.0,0.0
"인천",재활용 가능자원 분리배출,조명폐기물,조명폐기물,315.3,336.5
"인천",재활용 가능자원 분리배출,폐전지류,소계,227.9,292.6
"인천",재활용 가능자원 분리배출,영농폐기물,농약용기류,3.9,0.0
"인천",재활용 가능자원 분리배출,영농폐기물,폐비닐,709.6,954.8
"인천",재활용 가능자원 분리배출,폐식용유,소계,0.0,0.0
"인천",재활용 가능자원 분리배출,폐전기전자제품,소계,3571.2,4878.4
"인천",재활용 가능자원 분리배출,폐가구류,소계,700.8,800.3
"인천",재활용 가능자원 분리배출,기타,소계,262.3,642.5
"인천",재활용 가능자원 분리배출,재활용 잔재물,소계,27569.3,28242.0
"인천",음식물류 폐기물 분리배출,소계,소계,228604.5,228121.7
"광주",합계,소계,소계,420659.4,486488.7
"광주",종량제방식 등 혼합배출,소계,소계,202193.3,199602.5
"광주",종량제방식 등 혼합배출,가연성,소계,175214.4,185884.4
"광주",종량제방식 등 혼합배출,가연성,폐지류,31505.0,35467.2
"광주",종량제방식 등 혼합배출,가연성,폐합성수지류,28732.6,32021.4
"광주",종량제방식 등 혼합배출,가연성,폐고무류,951.5,1072.1
"광주",종량제방식 등 혼합배출,가연성,폐섬유류,6792.5,7709.6
"광주",종량제방식 등 혼합배출,가연성,음식물류 폐기물,9743.5,11047.4
"광주",종량제방식 등 혼합배출,가연성,폐목재류,22493.6,15087.8
"광주",종량제방식 등 혼합배출,가연성,기타,74995.7,83478.9
"광주",종량제방식 등 혼합배출,불연성,소계,11786.1,13718.1
"광주",종량제방식 등 혼합배출,불연성,폐금속류,2926.5,2638.8
"광주",종량제방식 등 혼합배출,불연성,폐유리류,3171.0,3711.2
"광주",종량제방식 등 혼합배출,불연성,폐토사류,450.1,559.0
"광주",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,268.8,322.9
"광주",종량제방식 등 혼합배출,불연성,연탄재,45.9,15.2
"광주",종량제방식 등 혼합배출,불연성,기타,4923.8,6471.0
"광주",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0.0,0.0
"광주",종량제방식 등 혼합배출,기타(배출불명등),소계,15192.8,0.0
"광주",재활용 가능자원 분리배출,소계,소계,56822.2,128437.9
"광주",재활용 가능자원 분리배출,폐지류,종이팩,84.7,231.1
"광주",재활용 가능자원 분리배출,폐지류,기타,6164.9,46092.8
"광주",재활용 가능자원 분리배출,고철류,소계,236.0,1459.9
"광주",재활용 가능자원 분리배출,금속캔,소계,509.9,2627.0
